latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-37.20111,174.7247,329.87,0.4,0.44,2024-01-18,02:38,2,low,2.0NRT,300.26,5.03,D
-21.01805,164.68541,347.27,0.39,0.36,2024-01-18,02:42,2,nominal,2.0NRT,302.81,29.58,D
-37.83134,144.78909,335.46,0.4,0.37,2024-01-18,04:18,2,nominal,2.0NRT,301.97,3.9,D
-34.91313,146.5903,354.23,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,304.17,4.49,D
-34.91415,146.58501,346.67,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.52,4.49,D
-34.91517,146.57971,344.73,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.41,6.05,D
-34.90945,146.58926,355,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,304.08,6.22,D
-34.91048,146.58395,357.32,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.91,6.22,D
-34.9115,146.57867,347,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,304.08,4.32,D
-34.90579,146.58821,347.04,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.07,6.22,D
-34.90681,146.58292,353.04,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.64,6.22,D
-34.90784,146.57762,339.13,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.63,4.32,D
-34.90212,146.58717,347.04,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.17,5.26,D
-34.90314,146.58186,346.84,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.2,5.26,D
-34.54699,146.4286,339.68,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,302.2,3.43,D
-33.52034,145.52602,335.61,0.46,0.39,2024-01-18,04:21,2,low,2.0NRT,308.86,3.76,D
-34.44474,139.03754,335.28,0.43,0.38,2024-01-18,04:21,2,low,2.0NRT,310.14,1.29,D
-33.00704,137.57953,337.15,0.47,0.4,2024-01-18,04:21,2,low,2.0NRT,311.23,3.67,D
-32.9948,137.58781,336.62,0.47,0.4,2024-01-18,04:21,2,low,2.0NRT,310.89,4.42,D
-30.96876,148.85651,331.66,0.5,0.49,2024-01-18,04:21,2,nominal,2.0NRT,293.31,0.97,D
-28.65018,146.8456,337.69,0.43,0.46,2024-01-18,04:21,2,nominal,2.0NRT,301.26,9.64,D
-34.91475,146.60194,336.38,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.12,5.06,D
-34.91679,146.59135,347.88,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.43,4.49,D
-34.91782,146.58604,335.71,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,302.82,4.49,D
-34.92046,146.59239,348.28,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,303.76,4.35,D
-34.92148,146.5871,342.04,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,304.47,4.35,D
-34.91577,146.59663,350.5,0.49,0.4,2024-01-18,04:21,2,nominal,2.0NRT,304.44,5.06,D
-35.78049,143.49373,338.86,0.39,0.36,2024-01-18,04:21,2,nominal,2.0NRT,303.44,3.18,D
-34.8161,147.57494,357.31,0.54,0.42,2024-01-18,04:21,2,nominal,2.0NRT,304.63,10.21,D
-34.81728,147.56912,340.15,0.54,0.42,2024-01-18,04:21,2,nominal,2.0NRT,304.96,5.92,D
